movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
Tron: Legacy,2010-12-17,Adventure,PG,172062763,183619259,https://image.tmdb.org/t/p/w200/vuifSABRpSnxCAOxEnWpNbZSXpp.jpg
Gnomeo and Juliet,2011-02-11,Comedy,G,99967670,106270797,https://image.tmdb.org/t/p/w200/vVQwgfS9gSFviVT4gS7tZAmhRFc.jpg
I am Number Four,2011-02-18,Adventure,PG-13,55100437,58574607,https://image.tmdb.org/t/p/w200/2NrP3h3GEsrPXX60bmjKuYWAvl9.jpg
Mars Needs Moms,2011-03-11,Adventure,PG,21392758,22741603,https://image.tmdb.org/t/p/w200/g94LNU4pipIUJLkTvYIgNGfT2J2.jpg
African Cats,2011-04-22,Documentary,G,15428747,16401551,https://image.tmdb.org/t/p/w200/nERPMF2kHjc1slLHZYZGwcWX9kg.jpg
Zokkomon,2011-04-22,Adventure,PG,2815,2984,https://image.tmdb.org/t/p/w200/ub1NcqnUrXfRbRudmehCoUa2aix.jpg
Prom,2011-04-29,Comedy,PG,10130219,10768946,https://image.tmdb.org/t/p/w200/pOYSCjYylOsEPkql3m9gcV1jycR.jpg
Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,241063875,256263359,https://image.tmdb.org/t/p/w200/keGfSvCmYj7CvdRx36OdVrAEibE.jpg
Cars 2,2011-06-24,Adventure,G,191450875,203522177,https://image.tmdb.org/t/p/w200/okIz1HyxeVOMzYwwHUjH2pHi74I.jpg
Winnie the Pooh,2011-07-15,Adventure,G,26692846,28375869,https://image.tmdb.org/t/p/w200/xlFs85nq62jeR4a9iHNGB113m6x.jpg
The Help,2011-08-10,Drama,PG-13,169705587,180404976,https://image.tmdb.org/t/p/w200/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg
Fright Night,2011-08-19,Horror,R,18298649,19452402,https://image.tmdb.org/t/p/w200/euIh75MwNDrYkTEVSkw7VXWGXoE.jpg
Real Steel,2011-10-07,Action,PG-13,85463309,90848019,https://image.tmdb.org/t/p/w200/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg
The Muppets,2011-11-23,Comedy,PG,88625922,94189503,https://image.tmdb.org/t/p/w200/mOB0Hdm23NslPNDkZC9eueatW3b.jpg
War Horse,2011-12-25,Drama,PG-13,79883359,84762149,https://image.tmdb.org/t/p/w200/3aRHhvvngFPJFy5uAjo7GVr3PhL.jpg
The Secret World of Arietty,2012-02-17,Adventure,G,19192510,20325733,
John Carter,2012-03-09,Adventure,PG-13,73058679,77372445,https://image.tmdb.org/t/p/w200/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg
Chimpanzee,2012-04-20,Documentary,G,28965459,30675725,https://image.tmdb.org/t/p/w200/zmqWHkCXHM9n28zqL2LrPmJ5a7W.jpg
The Avengers,2012-05-04,Action,PG-13,623279547,660081224,https://image.tmdb.org/t/p/w200/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
Brave,2012-06-22,Adventure,PG,237282182,251292441,https://image.tmdb.org/t/p/w200/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg
People Like Us,2012-06-29,Drama,PG-13,12431792,13165822,https://image.tmdb.org/t/p/w200/aXfIwSJogLjQdmX9Qzhkeuv3HQI.jpg
The Odd Life of Timothy Green,2012-08-15,Drama,PG,51853450,54914942,https://image.tmdb.org/t/p/w200/24HWf4QBnEbNYDJfNFR1CmwtST5.jpg
Frankenweenie,2012-10-05,Comedy,PG,35287788,37363513,https://image.tmdb.org/t/p/w200/10MHgLe0ZEX0xSLHghgy6mvUyIF.jpg
Wreck-It Ralph,2012-11-02,Adventure,PG,189412677,200354959,https://image.tmdb.org/t/p/w200/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg
Lincoln,2012-11-09,Drama,PG-13,182207973,192122330,https://image.tmdb.org/t/p/w200/5KeUqW6DpVtf8G9VMuI2l0XIPCo.jpg
Oz the Great and Powerful,2013-03-08,Adventure,PG,234770996,243434130,https://image.tmdb.org/t/p/w200/tkzfAUEKoUp4YFNbZV9hfpZOz0z.jpg
Iron Man 3,2013-05-03,Action,PG-13,408992272,424084233,https://image.tmdb.org/t/p/w200/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg
Monsters University,2013-06-21,Adventure,G,268488329,278395641,https://image.tmdb.org/t/p/w200/y7thwJ7z5Bplv6vwl6RI0yteaDD.jpg
The Lone Ranger,2013-07-02,Western,PG-13,89302115,92597388,https://image.tmdb.org/t/p/w200/yDuJGq8biNMW7zM3w95UaDJv0KG.jpg
Disney Planes,2013-08-09,Comedy,PG,90282580,93614037,https://image.tmdb.org/t/p/w200/i2xgU0y0p77WTrB0oIkbpdaWq8R.jpg
The Fifth Estate,2013-10-18,Drama,R,3254172,3374251,https://image.tmdb.org/t/p/w200/pUrL2eacUjAxkOS403DaOyXpgAG.jpg
Thor: The Dark World,2013-11-08,Adventure,PG-13,206362140,213962184,https://image.tmdb.org/t/p/w200/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg
Kaze Tachinu,2013-11-08,Drama,PG-13,5201879,5367415,https://image.tmdb.org/t/p/w200/ePAlUkMxgDHXKZ9IHas3CE8xTWv.jpg
Frozen,2013-11-22,Adventure,PG,400738009,414997174,https://image.tmdb.org/t/p/w200/itAKcobTYGpYT8Phwjd8c9hleTo.jpg
Delivery Man,2013-11-22,Comedy,PG-13,30659817,31787136,https://image.tmdb.org/t/p/w200/huXHYDclKT4RM1OvS3O7SXYRAU0.jpg
Saving Mr. Banks,2013-12-13,Drama,PG-13,83299761,86249969,https://image.tmdb.org/t/p/w200/4RkcUe5PKnYvrCwMjk8giUAoID7.jpg
Need for Speed,2014-03-14,Action,PG-13,43568507,44955015,https://image.tmdb.org/t/p/w200/45D153Bk0bNwonV1w5IBBvqssPV.jpg
Muppets Most Wanted,2014-03-21,Comedy,PG,51178893,52807594,https://image.tmdb.org/t/p/w200/o9mGTVnnsqMS3Oh2IloPKPpLiL3.jpg
Captain America: The Winter Soldier,2014-04-04,Action,PG-13,259746958,268013076,https://image.tmdb.org/t/p/w200/tVFRpFw3xTedgPGqxW0AOI8Qhh0.jpg
Bears,2014-04-18,Documentary,G,17780194,18346024,https://image.tmdb.org/t/p/w200/dO2JdK7MonWis9Jg2im9IcVq7eJ.jpg
Million Dollar Arm,2014-05-10,Drama,PG,36447959,37607865,https://image.tmdb.org/t/p/w200/nO5Hq7fJhxmhuycELyVX6FamOjl.jpg
Maleficent,2014-05-30,Adventure,PG,241407328,249089809,https://image.tmdb.org/t/p/w200/bDG3yei6AJlEAK3A5wN7RwFXQ7V.jpg
Planes: Fire and Rescue,2014-07-18,Adventure,PG,59157732,61040349,https://image.tmdb.org/t/p/w200/tsVv04zhHFBO03Aq6BpzJx0OrFh.jpg
Guardians of the Galaxy,2014-08-01,Adventure,PG-13,333172112,343771168,https://image.tmdb.org/t/p/w200/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg
The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,54235441,55961409,https://image.tmdb.org/t/p/w200/1vFhSr7INoulu18smHqicft05i8.jpg
"Alexander and the Terrible, Horrible,…",2014-10-10,Comedy,PG,66954149,69055550,https://image.tmdb.org/t/p/w200/pxbAepXQjsGFDHaR3dPndFSxDU0.jpg
