movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
Stakeout,1987-08-05,Comedy,R,65673233,141592160,https://image.tmdb.org/t/p/w200/zclBzn3FBzF4i774z0mZjFQw66q.jpg
Can't Buy Me Love,1987-08-14,Romantic Comedy,,31623833,68181300,https://image.tmdb.org/t/p/w200/qK3yiqo84U3twOOKOx81c407Hpr.jpg
Hello Again,1987-11-06,Comedy,,20419446,44024529,https://image.tmdb.org/t/p/w200/mbNJ7Qe33XtN2aenO0ildCOpG0y.jpg
3 Men and a Baby,1987-11-25,Comedy,PG,167780960,353334607,https://image.tmdb.org/t/p/w200/oYetboAljWR2N5A7MU3i63DvUtd.jpg
Good Morning Vietnam,1987-12-23,Comedy,R,123922370,254414837,https://image.tmdb.org/t/p/w200/sreISlFUn5TyR41QNjlfAdX5SEW.jpg
Shoot to Kill,1988-02-12,Action,,29300000,60097074,
D.O.A.,1988-03-18,Thriller/Suspense,,12706478,26062188,https://image.tmdb.org/t/p/w200/zelnD4ZCB7lBHHOr9Tyw7cepjt9.jpg
Return to Snowy River,1988-04-15,Adventure,PG,13687027,28073384,https://image.tmdb.org/t/p/w200/6I94myoMi28trV8lxDq2DWhzLFe.jpg
Big Business,1988-06-10,Comedy,PG,40150487,82352451,
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,154112492,316250084,https://image.tmdb.org/t/p/w200/lYfRc57Kx9VgLZ48iulu0HKnM15.jpg
Cocktail,1988-07-29,Drama,R,78222753,160442289,https://image.tmdb.org/t/p/w200/jFRhEPhtsln9tDwzMdZN3OlhUob.jpg
The Rescue,1988-08-05,Action,,5855392,12009960,https://image.tmdb.org/t/p/w200/kC7fVtCkJACwPBaRr2hlj2whfKX.jpg
Heartbreak Hotel,1988-09-30,Comedy,,5509417,11300331,https://image.tmdb.org/t/p/w200/9FeHaHPHXsZZle8qAQWTJSGPOji.jpg
The Good Mother,1988-11-04,Drama,,4764606,9772655,https://image.tmdb.org/t/p/w200/whwxm3JUXNiGvqZWcRC6g6kAHm1.jpg
Ernest Saves Christmas,1988-11-11,Comedy,PG,28202109,57845202,https://image.tmdb.org/t/p/w200/4XYMlJg9sqM1e80pNb9lCK3oJ4v.jpg
Oliver & Company,1988-11-18,Adventure,G,49576671,102254492,https://image.tmdb.org/t/p/w200/nijsZeuINn0SnNb5cQVz2L4Yhps.jpg
Beaches,1988-12-21,Drama,PG-13,57041866,120381757,https://image.tmdb.org/t/p/w200/vol5TCGHDbi8r0yo0TrIGFiGxJ7.jpg
Three Fugitives,1989-01-27,Comedy,PG-13,40590000,85757817,https://image.tmdb.org/t/p/w200/qUNgtb0LEkRcHGanKHO0B3JWsw9.jpg
New York Stories,1989-03-01,Drama,PG,10763469,22740861,https://image.tmdb.org/t/p/w200/mViGEH5dfsAnUgJmce1RJkFycAi.jpg
Disorganized Crime,1989-04-14,Comedy,,7210149,15233465,https://image.tmdb.org/t/p/w200/rQHt9X3Q4NhDe6LotqUDiZme2l8.jpg
Dead Poets Society,1989-06-02,Drama,PG,95860116,202531517,https://image.tmdb.org/t/p/w200/erzbMlcNHOdx24AXOcn2ZKA7R1q.jpg
"Honey, I Shrunk the Kids",1989-06-23,Adventure,PG,130724172,276191669,https://image.tmdb.org/t/p/w200/omQOzahi2NIeiYznNxHFDvNbvo6.jpg
Turner & Hooch,1989-07-28,Comedy,PG,71079915,150176361,https://image.tmdb.org/t/p/w200/nllMNbjgvUpw378czm5vBYzZqg1.jpg
Cheetah,1989-08-18,Adventure,,7882250,16653473,https://image.tmdb.org/t/p/w200/9kGGhL61gHNesLycQecJ4CoCBZT.jpg
An Innocent Man,1989-10-06,Drama,R,19397847,40983414,https://image.tmdb.org/t/p/w200/fDgR7vq3fqtlo2w2wPN3pNXyDm5.jpg
Gross Anatomy,1989-10-20,Drama,PG-13,11346186,23972012,https://image.tmdb.org/t/p/w200/nYP7HFuHfy3QchskZiywbJAQ8a0.jpg
The Little Mermaid,1989-11-15,Adventure,G,111543479,223726012,https://image.tmdb.org/t/p/w200/bV7t2Np8VG1i7h6jvPz5ZPUdAVP.jpg
Blaze,1989-12-13,Drama,R,19049727,39884640,https://image.tmdb.org/t/p/w200/g3rMWJRP6rQO5qP9E6umeRq9hGA.jpg
Stella,1990-02-02,Drama,PG-13,20062347,40077147,https://image.tmdb.org/t/p/w200/arlOdto7Xj1GUPT41itgGJiXkEE.jpg
Where the Heart Is,1990-02-23,Comedy,,1106475,2210321,https://image.tmdb.org/t/p/w200/h8PBkTn6kDK9ZMCLj6jP6JnIBhY.jpg
Pretty Woman,1990-03-23,Romantic Comedy,R,178406268,356389765,https://image.tmdb.org/t/p/w200/dvcarc7TMrRp1C3jXPpn7PKce99.jpg
Ernest Goes to Jail,1990-04-06,Comedy,PG,25029569,49999822,https://image.tmdb.org/t/p/w200/w1k8SgODFQOk9wHjX4mi8QdkYAO.jpg
Spaced Invaders,1990-04-27,Comedy,PG,15000000,29964452,https://image.tmdb.org/t/p/w200/vchyoV7mnaUd46meVO81yolXH2D.jpg
Fire Birds,1990-05-24,Action,PG-13,14760451,29485923,https://image.tmdb.org/t/p/w200/ovFjMCmlA8Ox1ZYwVQVmWa9KbOp.jpg
Dick Tracy,1990-06-15,Action,PG,103738726,207231621,https://image.tmdb.org/t/p/w200/sjeP4bpgsUvAGE8oFcICy2GaHxw.jpg
Betsy's Wedding,1990-06-22,Comedy,R,19740070,39433357,https://image.tmdb.org/t/p/w200/qV2J2Fprk73ivclpL6JXPsBaCA5.jpg
Arachnophobia,1990-07-18,Thriller/Suspense,PG-13,53208180,106290270,https://image.tmdb.org/t/p/w200/lHjpwv1Yv2RcGcTQb4Lc1cKw1y9.jpg
DuckTales: The Movie - Treasure of th…,1990-08-03,Adventure,G,18075331,36107823,
Taking Care of Business,1990-08-17,Comedy,R,20005435,39963460,https://image.tmdb.org/t/p/w200/q3yEyOqJ5e3vAjK70qTnBMnmgYy.jpg
Mr. Destiny,1990-10-12,Comedy,PG-13,15379253,30722056,https://image.tmdb.org/t/p/w200/zlYxDFP9l1YcUnspNzuIa8KVo4N.jpg
The Rescuers Down Under,1990-11-16,Adventure,G,27931461,55796728,https://image.tmdb.org/t/p/w200/5koTDBmMAkJOgAe4PL4163UKjvG.jpg
3 Men and a Little Lady,1990-11-21,Comedy,PG,71609321,143108869,https://image.tmdb.org/t/p/w200/4VWWEnhX0zddRKwZWGtIdDcV5U7.jpg
Green Card,1990-12-25,Romantic Comedy,PG-13,29804169,59679131,https://image.tmdb.org/t/p/w200/9UweLsv3pCORu25Uq72m2IBkKaK.jpg
White Fang,1991-01-18,Adventure,PG,34729091,69540672,https://image.tmdb.org/t/p/w200/hbG8BWJApjiMdZ7dxLhyuoAdSMr.jpg
Scenes from a Mall,1991-02-22,Comedy,,9563393,19149495,https://image.tmdb.org/t/p/w200/roF5MQlNBFSV0K3s9ThBPIBglO5.jpg
Haakon Haakonsen,1991-03-01,Adventure,PG,15024232,30084149,https://image.tmdb.org/t/p/w200/b1taxayvlKB6Qiera4O6gM8SocT.jpg
The Marrying Man,1991-04-05,Romantic Comedy,R,12454768,24939118,https://image.tmdb.org/t/p/w200/nLER1ftW22IWFbz9GQy9lHAaDwG.jpg
Oscar,1991-04-26,Comedy,PG,23562716,47181395,https://image.tmdb.org/t/p/w200/uiocnO223BfA5aSiw2b6rYPWyPI.jpg
One Good Cop,1991-05-03,Action,R,11276846,22580472,https://image.tmdb.org/t/p/w200/iGhP7xi3Dm7dDgg7JbnQvTPBgYw.jpg
What About Bob?,1991-05-17,Comedy,PG,63710000,127571325,https://image.tmdb.org/t/p/w200/pFCrGGGhV5xeAdvEysv6aSv8T13.jpg
Wild Hearts Can't Be Broken,1991-05-24,Drama,,7300000,14617333,https://image.tmdb.org/t/p/w200/kY7KaiN3vh4g49Pn3ShM2ATnFVw.jpg
The Rocketeer,1991-06-21,Action,PG,46573027,93256673,https://image.tmdb.org/t/p/w200/2tDFRESFwKww1LHRE8W1Exj9edH.jpg
The Doctor,1991-07-24,Drama,PG-13,37497480,75084021,https://image.tmdb.org/t/p/w200/rExMpi701EIvEGu49FlOS8I0Kag.jpg
Paradise,1991-09-18,Drama,PG-13,18634643,37313540,https://image.tmdb.org/t/p/w200/vPWQ02RbO82ijIede7SYHcnhzoT.jpg
Deceived,1991-09-27,Thriller/Suspense,PG-13,28738096,57544453,https://image.tmdb.org/t/p/w200/y5g4m13npddtNOTE0nGkwZI34i3.jpg
Ernest Scared Stupid,1991-10-11,Comedy,PG,14143280,28320147,https://image.tmdb.org/t/p/w200/qnMtX8eKFFrJVEPZijFZqzDbckK.jpg
Billy Bathgate,1991-11-01,Drama,R,15565363,31167691,https://image.tmdb.org/t/p/w200/zDC0bY6IvGIf1SrDipLZJxR0Z2d.jpg
Beauty and the Beast,1991-11-13,Musical,G,218951625,363017667,https://image.tmdb.org/t/p/w200/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg
Father of the Bride,1991-12-20,Comedy,PG,89325780,179821881,https://image.tmdb.org/t/p/w200/bU7HzJbJpY5OiLdqWhKSqGPtYii.jpg
The Hand That Rocks the Cradle,1992-01-10,Thriller/Suspense,R,88036683,178831137,https://image.tmdb.org/t/p/w200/uXqqFkLcMPORg3TsQbK4upozZXB.jpg
Medicine Man,1992-02-07,Drama,PG-13,44948240,91304495,https://image.tmdb.org/t/p/w200/lkHqtViTG4Zzh7i9rrtHJGTnEUg.jpg
Blame it on the Bellboy,1992-03-06,Comedy,PG-13,2891055,5872667,https://image.tmdb.org/t/p/w200/aGyu2UhON2s0J0YdTWsTUvsFJ4g.jpg
Noises Off...,1992-03-20,Comedy,PG-13,2280148,4631720,https://image.tmdb.org/t/p/w200/rGsYM6k0EUyViNdYngNsYwrVJns.jpg
Straight Talk,1992-04-03,Comedy,PG,21202099,43068356,https://image.tmdb.org/t/p/w200/fc9jSEvsnqdQ59Gt6mlIgb9rtto.jpg
Newsies,1992-04-08,,PG,2706352,5497481,https://image.tmdb.org/t/p/w200/3Gw7WM8xZ5xrJp1KniSbrbY9DMI.jpg
Passed Away,1992-04-24,,PG-13,4030793,8187848,https://image.tmdb.org/t/p/w200/kUBxt3YGBOg5Okpg6dUE7DBrRgR.jpg
Encino Man,1992-05-22,Comedy,PG,40057130,81369058,https://image.tmdb.org/t/p/w200/7OSo4K64Y2DQxbQOkOhlkPYdFPM.jpg
Sister Act,1992-05-29,Comedy,PG,139605150,283583472,https://image.tmdb.org/t/p/w200/xZvVSZ0RTxIjblLV87vs7ADM12m.jpg
Honey I Blew Up the Kid,1992-07-17,Comedy,PG,58662452,119162518,https://image.tmdb.org/t/p/w200/4EGqDo2pP2ZL0TCcYDGnwsU8liQ.jpg
A Stranger Among Us,1992-07-17,Drama,PG-13,12282994,24950752,https://image.tmdb.org/t/p/w200/t9V1cE3PzlK0syDD2HzrUiUpIRV.jpg
3 Ninjas,1992-08-07,Action,PG,29028000,58965304,https://image.tmdb.org/t/p/w200/kJjhmLG9eJWVZrKimZ6kCrQ0urF.jpg
A Gun in Betty Lou's Handbag,1992-08-21,,PG-13,3591460,7295423,https://image.tmdb.org/t/p/w200/gouuqyfzqjErBjMaXQaix2VNlyR.jpg
Captain Ron,1992-09-18,Comedy,PG-13,22518097,45741576,https://image.tmdb.org/t/p/w200/otnKFXvqFH2swlrNf2sNiXpnIsR.jpg
Sarafina!,1992-09-18,Drama,PG-13,7306242,14841352,https://image.tmdb.org/t/p/w200/i52368CunnMFEQIgPmGDKSPLcKx.jpg
Innocent Blood,1992-09-25,Horror,R,4877567,9907922,https://image.tmdb.org/t/p/w200/bloBdkHtAHSAJWa31Gls59z0xfb.jpg
The Mighty Ducks,1992-10-02,Comedy,PG,50752337,103120810,https://image.tmdb.org/t/p/w200/zxaCHxKDFNi6frh1Q0dj19L216o.jpg
1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,7099531,14421454,https://image.tmdb.org/t/p/w200/3effmbI6BbGW9i0HzEDfVGuOsvz.jpg
Consenting Adults,1992-10-16,Drama,R,21591728,43859823,https://image.tmdb.org/t/p/w200/16H9mMevZFFZfnCgsE2fVe2HH51.jpg
Aladdin,1992-11-11,Comedy,G,217350219,441969178,https://image.tmdb.org/t/p/w200/ykUEbfpkf8d0w49pHh0AD2KrT52.jpg
The Distinguished Gentleman,1992-12-04,Comedy,R,46434570,94349900,https://image.tmdb.org/t/p/w200/ny722xPMhsY6JlRmQQjLZs7JP0S.jpg
The Muppet Christmas Carol,1992-12-11,Comedy,G,27281507,55417615,https://image.tmdb.org/t/p/w200/ssrV29QSVVJuemBHho0Qx7pFYak.jpg
Alive,1993-01-15,Adventure,R,36299670,73914543,https://image.tmdb.org/t/p/w200/5b8YKyhrj6RFdYefmJpaRCMkIwT.jpg
Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,7843388,15970955,https://image.tmdb.org/t/p/w200/xGlmRiYDfOfipxmdCDLhXVcDfNV.jpg
Homeward Bound: The Incredible Journey,1993-02-03,Adventure,G,41833324,85182343,https://image.tmdb.org/t/p/w200/el6dJEpK97OJRQiQhuiSGk2jkV5.jpg
The Cemetery Club,1993-02-03,Comedy,PG-13,5583621,11369541,https://image.tmdb.org/t/p/w200/yWAA4NuA2fmkZQL3CEWRzPif6D7.jpg
Swing Kids,1993-03-05,Musical,PG-13,5632086,11468231,https://image.tmdb.org/t/p/w200/o85xTgX5ByDewuYo5yOLIsP02CX.jpg
A Far Off Place,1993-03-12,Adventure,PG,12890752,26248558,https://image.tmdb.org/t/p/w200/uVTs2cUYgeGkdiPoszBOjFXqvNd.jpg
Born Yesterday,1993-03-26,Romantic Comedy,PG,17760754,36165012,https://image.tmdb.org/t/p/w200/dUANBUEbVprsyEzRPe1mQFACr3n.jpg
The Adventures of Huck Finn,1993-04-02,Adventure,PG,24103594,49080505,https://image.tmdb.org/t/p/w200/8VpQZ43hdaTUmkMoe2CnED1Y2fS.jpg
Bound by Honor,1993-04-16,,R,4496583,9156084,https://image.tmdb.org/t/p/w200/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg
Indian Summer,1993-04-23,Comedy,R,14717851,29968953,https://image.tmdb.org/t/p/w200/3TsBrOGlDLd7S1hq348fOLJ4RNP.jpg
Super Mario Bros.,1993-05-28,Action,PG,20844907,42445058,https://image.tmdb.org/t/p/w200/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
Guilty as Sin,1993-06-04,Thriller/Suspense,R,22622537,46064723,https://image.tmdb.org/t/p/w200/a5b53cYM23bUA7OyoNyDtIJ38kc.jpg
Life With Mikey,1993-06-04,Comedy,PG,12349549,25146538,https://image.tmdb.org/t/p/w200/dKsvF5t5xsm17HG3GJzQQGJpJzP.jpg
What's Love Got to Do With It,1993-06-09,Drama,R,39100956,79618610,https://image.tmdb.org/t/p/w200/vNAYuA26Wtf7VfzZEaxZQmJTE4Z.jpg
Son in Law,1993-07-02,Comedy,PG-13,25989889,52921433,https://image.tmdb.org/t/p/w200/gj4afHL9bMQ18opZzMp77tlPkAq.jpg
Hocus Pocus,1993-07-16,Comedy,PG,39360491,80147079,https://image.tmdb.org/t/p/w200/by4D4Q9NlUjFSEUA1yrxq6ksXmk.jpg
Another Stakeout,1993-07-23,Comedy,PG-13,20107504,40943541,https://image.tmdb.org/t/p/w200/hBItFUmCrRS1mel0TM69ymBD79k.jpg
My Boyfriend's Back,1993-08-06,,PG-13,3218882,6554384,https://image.tmdb.org/t/p/w200/euXyMbBT2QaxiYZf1jJrsa5yGon.jpg
Father Hood,1993-08-27,,PG-13,3268203,6654819,https://image.tmdb.org/t/p/w200/xHndTwPS3CNjct7aE20dBa6764e.jpg
The Joy Luck Club,1993-09-08,Drama,R,32790064,66768171,https://image.tmdb.org/t/p/w200/s1Sk0hhVARNs7i9wqRHqbCriu8n.jpg
Money for Nothing,1993-09-10,Comedy,R,1044824,2127496,https://image.tmdb.org/t/p/w200/fq09Jn9cZtj55l4peVKEe3Kem8O.jpg
The Program,1993-09-24,Action,R,23042200,46919256,https://image.tmdb.org/t/p/w200/vwOYJYXKyhRW8m2gewcMNlsRQhp.jpg
Cool Runnings,1993-10-01,Comedy,PG,68856263,140392731,https://image.tmdb.org/t/p/w200/6fXuGEb7EqGmAeUodxm7l5ELPZ.jpg
The Nightmare Before Christmas,1993-10-13,Musical,PG,50408318,100026637,https://image.tmdb.org/t/p/w200/oQffRNjK8e19rF7xVYEN8ew0j7b.jpg
The Three Musketeers,1993-11-12,Adventure,PG,53661805,109310377,https://image.tmdb.org/t/p/w200/mk8UH7JRmK8adcqJJpB1ygP7B1C.jpg
Sister Act 2 Back in the Habit,1993-12-10,Comedy,PG,57319029,116965668,https://image.tmdb.org/t/p/w200/2jmPYqep3r2eumauyTauNIhSmR7.jpg
Tombstone,1993-12-25,Western,R,56505065,115781734,https://image.tmdb.org/t/p/w200/wGFCvylul8iEQhJOKfwZGGvXMzA.jpg
The Air Up There,1994-01-07,Comedy,PG,20782439,42940186,https://image.tmdb.org/t/p/w200/lY1yhtg0DRaMTzclYCXo0sP1kAV.jpg
Cabin Boy,1994-01-07,Comedy,PG-13,3469493,7168577,https://image.tmdb.org/t/p/w200/xy2BzE3siqU67VQCQ2k4xideNNM.jpg
Iron Will,1994-01-14,Drama,PG,20623071,42610902,https://image.tmdb.org/t/p/w200/vYsSu7DdgU4yqbekTvAevrv6dSP.jpg
Red Rock West,1994-01-28,,R,2502551,5170709,https://image.tmdb.org/t/p/w200/ewofUEqU3Gpr7WSgSz3TEVPIfBg.jpg
Blank Check,1994-02-11,Comedy,PG,30573770,63170804,https://image.tmdb.org/t/p/w200/qhsH1BGqeCDHoogt5ebxOgERJGb.jpg
Angie,1994-03-04,Comedy,R,9252349,19116981,https://image.tmdb.org/t/p/w200/jknrNbLzW2uAKyLXd8x4ZSaLXp7.jpg
The Ref,1994-03-09,Comedy,R,11325885,23401275,https://image.tmdb.org/t/p/w200/ym7Kx3iDmalK8kXKvVQwnFYABEV.jpg
D2: The Mighty Ducks,1994-03-25,Comedy,PG,45604206,94226333,https://image.tmdb.org/t/p/w200/veGW1N6QUglP4osDdOUI6CZCcBI.jpg
Holy Matrimony,1994-04-08,Comedy,,713234,1473665,https://image.tmdb.org/t/p/w200/guuXfnxgXWPFrvgPbqySnujnjqb.jpg
White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,8752399,18083994,https://image.tmdb.org/t/p/w200/lZbgwbGutOF9goEyxeHmyLBDZII.jpg
The Inkwell,1994-04-22,Comedy,R,8864699,18316030,https://image.tmdb.org/t/p/w200/b5qUq9l6ci9KzzAqYhpdxzjY7qi.jpg
When a Man Loves a Woman,1994-04-29,Drama,R,50021959,103354194,https://image.tmdb.org/t/p/w200/cA1uMNX3sdWAWfMZbsgm1VIJYSY.jpg
3 Ninjas Kick Back,1994-05-06,Action,PG,11744960,24267154,https://image.tmdb.org/t/p/w200/kXuh3c0DyvqSGo0DBatoemBwEtz.jpg
Renaissance Man,1994-06-03,Comedy,PG-13,24172899,49945474,https://image.tmdb.org/t/p/w200/iPRtaSfN8gNWFclgrcg5oD3V41i.jpg
The Lion King,1994-06-15,Adventure,G,422780140,761640898,https://image.tmdb.org/t/p/w200/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg
I Love Trouble,1994-06-29,Romantic Comedy,PG,30806194,63651027,https://image.tmdb.org/t/p/w200/2uyytK3XFRPFXoTchFDtsWiSujn.jpg
Angels in the Outfield,1994-07-15,Comedy,PG,50236831,103798152,https://image.tmdb.org/t/p/w200/7WRt6l7tiXVPG9zLco1rwy5Ffw9.jpg
In the Army Now,1994-08-12,Comedy,PG,28881266,59673787,https://image.tmdb.org/t/p/w200/2JgcEqfGE0yj0yQOzw1iufOg6yf.jpg
Color of Night,1994-08-19,Thriller/Suspense,R,19750470,40804816,https://image.tmdb.org/t/p/w200/w1OBPkf3BxeC7543YzFwiKIwBFJ.jpg
Camp Nowhere,1994-08-26,Comedy,PG,10442641,21576332,https://image.tmdb.org/t/p/w200/5DmempuEgWyHCu5lMVyICTRgZUp.jpg
It's Pat,1994-08-26,Comedy,,60822,125666,https://image.tmdb.org/t/p/w200/tydslMVgc6DpEvwYT0MWW9byL1a.jpg
A Simple Twist of Fate,1994-09-02,Drama,PG-13,3404935,7035189,https://image.tmdb.org/t/p/w200/2Jorj80Y4EVEAPDRVVdDXKSVUTw.jpg
Quiz Show,1994-09-14,Drama,PG-13,24787282,50840394,https://image.tmdb.org/t/p/w200/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg
Terminal Velocity,1994-09-23,Action,PG-13,16478900,34048315,https://image.tmdb.org/t/p/w200/r6H0J7uu9n6D6p5HoJz7jMD90eI.jpg
Ed Wood,1994-09-30,Comedy,R,5828466,12042634,https://image.tmdb.org/t/p/w200/jNao464ZTwWUWr3uJJ8swVgaKd9.jpg
The Puppet Masters,1994-10-21,Horror,R,8579626,17727017,https://image.tmdb.org/t/p/w200/8xJGom6fUqmVhJ7EWprZEHygUis.jpg
Squanto: A Warrior's Tale,1994-10-28,Drama,PG,3319344,6858345,https://image.tmdb.org/t/p/w200/1OQAT40mMFrIBe9ExBqG93DX13Z.jpg
The Santa Clause,1994-11-11,Comedy,PG,144833357,298369717,https://image.tmdb.org/t/p/w200/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg
A Low Down Dirty Shame,1994-11-23,Action,R,29317886,60321919,https://image.tmdb.org/t/p/w200/v5XUfLrdoGfatObGXhqckYTNqFT.jpg
The Jungle Book,1994-12-25,Adventure,PG,44342956,88930321,https://image.tmdb.org/t/p/w200/9BgcTVV43dZ8A1TpuXWkuNTXtfI.jpg
Houseguest,1995-01-06,Comedy,PG,26325256,51016522,https://image.tmdb.org/t/p/w200/cdiHlZho11EEqD3aPanYe1rEYRB.jpg
Bad Company,1995-01-20,Thriller/Suspense,R,3523909,6829092,https://image.tmdb.org/t/p/w200/umu141mcfIEhRLgyQp7TWlGJFW.jpg
Miami Rhapsody,1995-01-27,Romantic Comedy,PG-13,5086578,9857435,https://image.tmdb.org/t/p/w200/joturqaJfAJ8XHPadT8kibgSpS4.jpg
The Jerky Boys,1995-02-03,Comedy,R,7555256,14641561,https://image.tmdb.org/t/p/w200/yUbdqyZaeaoNKBQmnmtim1IIAf1.jpg
Heavy Weights,1995-02-17,Comedy,PG,17671310,34245779,https://image.tmdb.org/t/p/w200/cHD1CIjDqJeMICQjemiKXrE4BKN.jpg
Man of the House,1995-03-03,Comedy,PG,40029009,77573459,https://image.tmdb.org/t/p/w200/anBhlqCABytNvybE2Xr3tvsCOTp.jpg
Roommates,1995-03-03,Comedy,PG,12076989,23404369,https://image.tmdb.org/t/p/w200/ww737E66JgONeNCSZVuGRy7TvXI.jpg
Tall Tale,1995-03-24,Western,PG,8247627,15983331,https://image.tmdb.org/t/p/w200/ktyEIT4p3Jlah2TH7JXhlw8WeAY.jpg
A Pyromaniac's Love Story,1995-03-28,Romantic Comedy,PG,468240,907414,https://image.tmdb.org/t/p/w200/tjhmiAVkxl1EHkE9o6C93yKQdJ1.jpg
Jefferson in Paris,1995-03-31,Drama,PG-13,2461628,4770461,https://image.tmdb.org/t/p/w200/vcZCvsm920LoNDb7pMibJkxIE4n.jpg
Funny Bones,1995-03-31,Comedy,R,529135,1025425,https://image.tmdb.org/t/p/w200/yGY053q9WlgaZzji50ZHK3p8VIy.jpg
A Goofy Movie,1995-04-07,Comedy,G,35336439,68479579,https://image.tmdb.org/t/p/w200/bycmMhO3iIoEDzP768sUjq2RV4T.jpg
While You Were Sleeping,1995-04-21,Romantic Comedy,PG,81057016,157082900,https://image.tmdb.org/t/p/w200/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg
Crimson Tide,1995-05-12,Action,R,91387195,177102077,https://image.tmdb.org/t/p/w200/iqjxWP0sCqIZ6M4fMpWOh8uUHHC.jpg
Mad Love,1995-05-26,Drama,PG-13,15446532,29934306,https://image.tmdb.org/t/p/w200/glhctWoYw1jg8z0FUSwFD4UTNi4.jpg
Pocahontas,1995-06-10,Adventure,G,141579773,274370957,https://image.tmdb.org/t/p/w200/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
Judge Dredd,1995-06-30,Action,R,34687912,67222776,https://image.tmdb.org/t/p/w200/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg
Operation Dumbo Drop,1995-07-28,Adventure,PG,24670346,47809421,https://image.tmdb.org/t/p/w200/qIJlpbMCKg9O1C7gaiyDFaUWf9b.jpg
Dangerous Minds,1995-08-11,Drama,R,84919401,164552293,https://image.tmdb.org/t/p/w200/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
A Kid in King Arthur's Court,1995-08-11,Adventure,PG,13406717,25981285,https://image.tmdb.org/t/p/w200/eAP9rYEPeSjPxsAc8XtMccEzXpI.jpg
The Tie That Binds,1995-09-08,Thriller/Suspense,R,5762795,11167895,https://image.tmdb.org/t/p/w200/xwrY46PITbSoCiKm9gTnDWP47Kh.jpg
Unstrung Heroes,1995-09-15,Drama,PG,7929000,15365850,https://image.tmdb.org/t/p/w200/twnqc80AL55WYnCVz4nMGEGcL7.jpg
The Big Green,1995-09-29,Comedy,PG,17736619,34372339,https://image.tmdb.org/t/p/w200/nVHqIuBTcTLmAIrML7T704UwfNI.jpg
Dead Presidents,1995-10-04,Drama,R,24120194,46741467,https://image.tmdb.org/t/p/w200/j52Ov2mUjGcT5dyNlwRfhjg5sqS.jpg
The Scarlet Letter,1995-10-13,Drama,R,10359006,20075033,https://image.tmdb.org/t/p/w200/8gIU7O3oV6NyWUjlL6ppbpnIZLW.jpg
Feast of July,1995-10-13,Drama,R,293274,568342,https://image.tmdb.org/t/p/w200/inUPybROcLlzdG4EQeDIShfFjsD.jpg
Powder,1995-10-27,Drama,PG-13,30833914,59727216,https://image.tmdb.org/t/p/w200/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg
Toy Story,1995-11-22,Adventure,G,191796233,370409631,https://image.tmdb.org/t/p/w200/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
Father of the Bride Part II,1995-12-08,Comedy,PG,76578911,147658438,https://image.tmdb.org/t/p/w200/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
Nixon,1995-12-20,Drama,R,13668249,26302005,https://image.tmdb.org/t/p/w200/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg
Tom and Huck,1995-12-22,Adventure,PG,23837227,45911517,https://image.tmdb.org/t/p/w200/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
Mr. Holland's Opus,1995-12-29,Drama,PG,82582604,157508868,https://image.tmdb.org/t/p/w200/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
White Squall,1996-02-02,Adventure,PG-13,10229300,19509726,https://image.tmdb.org/t/p/w200/muhTVa52IufjTaqNseXFQUAEuyG.jpg
Muppet Treasure Island,1996-02-16,Adventure,G,34327391,65470567,https://image.tmdb.org/t/p/w200/ifGLSfxgl08jXFItoxZgviC1QXi.jpg
Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,12805071,24422334,https://image.tmdb.org/t/p/w200/csSkKS6rcGjG8jjpwKZPVCD7Kiq.jpg
Before and After,1996-02-23,Drama,PG-13,8642118,16482589,https://image.tmdb.org/t/p/w200/oK8UKDrjFS14OFoihaQPfmmMOyI.jpg
Up Close & Personal,1996-03-01,Drama,PG-13,51045801,97356578,https://image.tmdb.org/t/p/w200/zF67qcf7skMHLpXnifodinUqCFr.jpg
Homeward Bound II: Lost in San Franc…,1996-03-08,Adventure,G,32709423,62384706,
Two Much,1996-03-15,Romantic Comedy,PG-13,1078555,2057055,https://image.tmdb.org/t/p/w200/65WB70Jhi3G2c5C41PyL5pl9L9p.jpg
